fecha,p7_cada100k_nacional
06/05/2020,0.17
07/05/2020,0.17
08/05/2020,0.19
09/05/2020,0.2
10/05/2020,0.21
11/05/2020,0.22
12/05/2020,0.19
13/05/2020,0.19
14/05/2020,0.16
15/05/2020,0.15
16/05/2020,0.13
17/05/2020,0.11
18/05/2020,0.1
19/05/2020,0.09
20/05/2020,0.11
21/05/2020,0.1
22/05/2020,0.09
23/05/2020,0.13
24/05/2020,0.14
25/05/2020,0.2
26/05/2020,0.21
27/05/2020,0.23
28/05/2020,0.25
29/05/2020,0.26
30/05/2020,0.23
31/05/2020,0.22
01/06/2020,0.16
02/06/2020,0.15
03/06/2020,0.1
04/06/2020,0.09
05/06/2020,0.07
06/06/2020,0.1
07/06/2020,0.09
08/06/2020,0.08
09/06/2020,0.08
10/06/2020,0.08
11/06/2020,0.06
12/06/2020,0.05
13/06/2020,0.01
14/06/2020,0.01
15/06/2020,0.01
16/06/2020,0.01
17/06/2020,0
18/06/2020,0.01
19/06/2020,0.02
20/06/2020,0.05
21/06/2020,0.11
22/06/2020,0.14
23/06/2020,0.15
24/06/2020,0.22
25/06/2020,0.23
26/06/2020,0.27
27/06/2020,0.26
28/06/2020,0.22
29/06/2020,0.2
30/06/2020,0.21
01/07/2020,0.17
02/07/2020,0.16
03/07/2020,0.13
04/07/2020,0.13
05/07/2020,0.11
06/07/2020,0.11
07/07/2020,0.12
08/07/2020,0.13
09/07/2020,0.12
10/07/2020,0.13
11/07/2020,0.13
12/07/2020,0.13
13/07/2020,0.12
14/07/2020,0.13
15/07/2020,0.14
16/07/2020,0.2
17/07/2020,0.21
18/07/2020,0.24
19/07/2020,0.27
20/07/2020,0.31
21/07/2020,0.4
22/07/2020,0.44
23/07/2020,0.47
24/07/2020,0.52
25/07/2020,0.53
26/07/2020,0.56
27/07/2020,0.57
28/07/2020,0.51
29/07/2020,0.5
30/07/2020,0.43
31/07/2020,0.41
01/08/2020,0.44
02/08/2020,0.39
03/08/2020,0.38
04/08/2020,0.36
05/08/2020,0.33
06/08/2020,0.34
07/08/2020,0.28
08/08/2020,0.28
09/08/2020,0.32
10/08/2020,0.33
11/08/2020,0.37
12/08/2020,0.36
13/08/2020,0.39
14/08/2020,0.41
15/08/2020,0.41
16/08/2020,0.37
17/08/2020,0.39
18/08/2020,0.42
19/08/2020,0.42
20/08/2020,0.41
21/08/2020,0.4
22/08/2020,0.36
23/08/2020,0.36
24/08/2020,0.32
25/08/2020,0.22
26/08/2020,0.21
27/08/2020,0.19
28/08/2020,0.18
29/08/2020,0.22
30/08/2020,0.25
31/08/2020,0.27
01/09/2020,0.33
02/09/2020,0.36
03/09/2020,0.37
04/09/2020,0.4
05/09/2020,0.42
06/09/2020,0.4
07/09/2020,0.41
08/09/2020,0.43
09/09/2020,0.49
10/09/2020,0.52
11/09/2020,0.51
12/09/2020,0.47
13/09/2020,0.54
14/09/2020,0.5
15/09/2020,0.49
16/09/2020,0.48
17/09/2020,0.49
18/09/2020,0.49
19/09/2020,0.51
20/09/2020,0.45
21/09/2020,0.47
22/09/2020,0.44
23/09/2020,0.37
24/09/2020,0.34
25/09/2020,0.31
26/09/2020,0.38
27/09/2020,0.37
28/09/2020,0.34
29/09/2020,0.4
30/09/2020,0.41
01/10/2020,0.42
02/10/2020,0.54
03/10/2020,0.51
04/10/2020,0.58
05/10/2020,0.61
06/10/2020,0.61
07/10/2020,0.67
08/10/2020,0.69
09/10/2020,0.65
10/10/2020,0.61
11/10/2020,0.62
12/10/2020,0.66
13/10/2020,0.66
14/10/2020,0.75
15/10/2020,0.79
16/10/2020,0.82
17/10/2020,0.96
18/10/2020,0.97
19/10/2020,1.01
20/10/2020,1.17
21/10/2020,1.14
22/10/2020,1.18
23/10/2020,1.29
24/10/2020,1.27
25/10/2020,1.35
26/10/2020,1.32
27/10/2020,1.24
28/10/2020,1.33
29/10/2020,1.43
30/10/2020,1.35
31/10/2020,1.32
01/11/2020,1.23
02/11/2020,1.2
03/11/2020,1.14
04/11/2020,1.08
05/11/2020,1.08
06/11/2020,1.17
07/11/2020,1.29
08/11/2020,1.48
09/11/2020,1.61
10/11/2020,1.73
11/11/2020,1.85
12/11/2020,1.98
13/11/2020,2.09
14/11/2020,2.1
15/11/2020,2.1
16/11/2020,2.21
17/11/2020,2.39
18/11/2020,2.43
19/11/2020,2.37
20/11/2020,2.42
21/11/2020,2.47
22/11/2020,2.73
23/11/2020,2.72
24/11/2020,2.73
25/11/2020,2.86
26/11/2020,3.05
27/11/2020,3.4
28/11/2020,3.89
29/11/2020,4.18
30/11/2020,4.5
01/12/2020,4.74
02/12/2020,5.09
03/12/2020,5.53
04/12/2020,5.93
05/12/2020,6.04
06/12/2020,6.57
07/12/2020,6.81
08/12/2020,7.36
09/12/2020,7.75
10/12/2020,8.37
11/12/2020,8.7
12/12/2020,9.11
13/12/2020,9.9
14/12/2020,10.41
15/12/2020,10.8
16/12/2020,11.52
17/12/2020,12.16
18/12/2020,12.79
19/12/2020,13.9
20/12/2020,13.76
21/12/2020,14.2
22/12/2020,14.71
23/12/2020,15.67
24/12/2020,16.51
25/12/2020,15.99
26/12/2020,15.02
27/12/2020,15.08
28/12/2020,15.66
29/12/2020,16.2
30/12/2020,15.41
31/12/2020,14.97
01/01/2021,15.95
02/01/2021,16.57
03/01/2021,16.76
04/01/2021,16.85
05/01/2021,16.96
06/01/2021,18.7
07/01/2021,19.17
08/01/2021,18.76
09/01/2021,19.22
10/01/2021,21.89
11/01/2021,22.34
12/01/2021,23.41
13/01/2021,22.13
14/01/2021,23.42
15/01/2021,25.14
16/01/2021,25.5
17/01/2021,23.45
18/01/2021,22.53
19/01/2021,21.08
20/01/2021,22
21/01/2021,20.5
22/01/2021,21.43
23/01/2021,21.75
24/01/2021,21.59
25/01/2021,21.25
26/01/2021,21.47
27/01/2021,20.64
28/01/2021,20.04
29/01/2021,17.87
30/01/2021,17.26
31/01/2021,16.8
01/02/2021,16.73
02/02/2021,16.31
03/02/2021,15.88
04/02/2021,16.01
05/02/2021,15.42
06/02/2021,14.85
07/02/2021,14.62
08/02/2021,14.4
09/02/2021,14.26
10/02/2021,14.58
11/02/2021,14.11
12/02/2021,14.42
13/02/2021,14.7
14/02/2021,14.52
15/02/2021,14.98
16/02/2021,14.45
17/02/2021,13.92
18/02/2021,14.2
19/02/2021,14.43
20/02/2021,15.28
21/02/2021,16.08
22/02/2021,16.27
23/02/2021,17.45
24/02/2021,19.11
25/02/2021,20.24
26/02/2021,21.12
27/02/2021,21.25
28/02/2021,21.16
01/03/2021,21.56
02/03/2021,21.32
03/03/2021,21.33
04/03/2021,21.53
05/03/2021,22.09
06/03/2021,23.21
07/03/2021,24.03
08/03/2021,25.14
09/03/2021,26.06
10/03/2021,26.26
11/03/2021,27.74
12/03/2021,29.26
13/03/2021,29.12
14/03/2021,32.19
15/03/2021,33.45
16/03/2021,33.79
17/03/2021,35.55
18/03/2021,37.42
19/03/2021,38.44
20/03/2021,40.34
21/03/2021,40.49
22/03/2021,46.66
23/03/2021,50.26
24/03/2021,51.92
25/03/2021,51.9
26/03/2021,52.67
27/03/2021,54.77
28/03/2021,54.38
29/03/2021,49.3
30/03/2021,48.74
31/03/2021,49.58
01/04/2021,49.72
02/04/2021,50.79
03/04/2021,47.61
04/04/2021,50.49
05/04/2021,47.22
06/04/2021,47.02
07/04/2021,54.88
08/04/2021,62.8
09/04/2021,69.78
10/04/2021,78.76
11/04/2021,82.98
12/04/2021,90.78
13/04/2021,93.52
14/04/2021,88.35
15/04/2021,88.71
16/04/2021,85.83
17/04/2021,83.25
18/04/2021,79.47
19/04/2021,78.38
20/04/2021,78.44
21/04/2021,80.96
22/04/2021,79.08
23/04/2021,81.45
24/04/2021,81.28
25/04/2021,82.11
26/04/2021,82.89
27/04/2021,84.8
28/04/2021,83.39
29/04/2021,81
30/04/2021,77.12
01/05/2021,75.85
02/05/2021,71.94
03/05/2021,68.45
04/05/2021,68.75
05/05/2021,68.71
06/05/2021,72.28
07/05/2021,72.27
08/05/2021,72.98
09/05/2021,74.19
10/05/2021,76.5
11/05/2021,77.07
12/05/2021,74.38
13/05/2021,75.24
14/05/2021,77.75
15/05/2021,78.64
16/05/2021,80.88
17/05/2021,81.69
18/05/2021,82.29
19/05/2021,86.66
20/05/2021,89.81
21/05/2021,95.05
22/05/2021,97.47
23/05/2021,100.13
24/05/2021,101.76
25/05/2021,105.22
26/05/2021,110.27
27/05/2021,107.67
28/05/2021,106.22
29/05/2021,106.72
30/05/2021,107.7
31/05/2021,108.7
01/06/2021,106.81
02/06/2021,102.53
03/06/2021,98.33
04/06/2021,97.7
05/06/2021,100.28
06/06/2021,102.36
07/06/2021,99.2
08/06/2021,102.02
09/06/2021,101.67
10/06/2021,104.76
11/06/2021,102.29
12/06/2021,97.29
13/06/2021,90.02
14/06/2021,90.22
15/06/2021,84.55
16/06/2021,82.41
17/06/2021,76.3
18/06/2021,73.26
19/06/2021,69.25
20/06/2021,67
21/06/2021,63.82
22/06/2021,60.91
23/06/2021,56.36
24/06/2021,54.76
25/06/2021,50.19
26/06/2021,47.27
27/06/2021,45.35
28/06/2021,43.47
29/06/2021,40.16
30/06/2021,37.65
01/07/2021,35.57
02/07/2021,32.42
03/07/2021,30.31
04/07/2021,28.36
05/07/2021,26.42
06/07/2021,24.26
07/07/2021,22.14
08/07/2021,19.67
09/07/2021,18.8
10/07/2021,17.26
11/07/2021,16.31
12/07/2021,15.12
13/07/2021,13.83
14/07/2021,12.81
15/07/2021,11.56
16/07/2021,10.86
17/07/2021,10.3
18/07/2021,9.62
19/07/2021,9.25
20/07/2021,8.73
21/07/2021,8
22/07/2021,7.84
23/07/2021,7.01
24/07/2021,6.61
25/07/2021,6.52
26/07/2021,6.3
27/07/2021,5.98
28/07/2021,5.82
29/07/2021,5.49
30/07/2021,5.26
31/07/2021,5.26
01/08/2021,5
02/08/2021,4.99
03/08/2021,4.69
04/08/2021,4.53
05/08/2021,4.33
06/08/2021,4.18
07/08/2021,3.82
08/08/2021,4.2
09/08/2021,4
10/08/2021,3.91
11/08/2021,3.94
12/08/2021,3.79
13/08/2021,3.61
14/08/2021,3.79
15/08/2021,3.52
16/08/2021,3.5
17/08/2021,3.51
18/08/2021,3.5
19/08/2021,3.42
20/08/2021,3.62
21/08/2021,3.65
22/08/2021,3.61
23/08/2021,3.57
24/08/2021,3.53
25/08/2021,3.35
26/08/2021,3.17
27/08/2021,2.88
28/08/2021,2.74
29/08/2021,2.75
30/08/2021,2.77
31/08/2021,2.97
01/09/2021,3.13
02/09/2021,3.58
03/09/2021,3.92
04/09/2021,4.05
05/09/2021,4.19
06/09/2021,4.32
07/09/2021,4.27
08/09/2021,4.35
09/09/2021,4.35
10/09/2021,4.31
11/09/2021,4.44
12/09/2021,4.57
13/09/2021,4.78
14/09/2021,4.82
15/09/2021,4.75
16/09/2021,4.58
17/09/2021,4.57
18/09/2021,4.39
19/09/2021,4.12
20/09/2021,3.9
21/09/2021,3.98
22/09/2021,3.94
23/09/2021,3.87
24/09/2021,3.76
25/09/2021,3.75
26/09/2021,3.76
27/09/2021,3.55
28/09/2021,3.35
29/09/2021,3.3
30/09/2021,3.27
01/10/2021,3.18
02/10/2021,3.15
03/10/2021,3.09
04/10/2021,3.11
05/10/2021,3.02
06/10/2021,3.08
07/10/2021,3.28
08/10/2021,3.51
09/10/2021,3.59
10/10/2021,3.76
11/10/2021,3.77
12/10/2021,3.82
13/10/2021,3.86
14/10/2021,3.92
15/10/2021,4.02
16/10/2021,4.14
17/10/2021,4.26
18/10/2021,4.44
19/10/2021,4.65
20/10/2021,4.68
21/10/2021,4.68
22/10/2021,4.69
23/10/2021,4.59
24/10/2021,4.5
25/10/2021,4.67
26/10/2021,5.02
27/10/2021,5.53
28/10/2021,5.83
29/10/2021,6.33
30/10/2021,6.83
31/10/2021,7.08
